mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
1081344,2,1000,-0.4645193598665476,0.4645193598665476,ridge_fixed,0.0029646250186488032
1572864,2,1000,-0.4570583062543633,0.4570583062543633,ridge_fixed,0.003040166979189962
2097154,2,1000,-0.45949731439628977,0.45949731439628977,ridge_fixed,0.0032547920127399266
2097156,2,1000,-0.4816650694534194,0.4816650694534194,ridge_fixed,0.002947542001493275
2097160,2,1000,-0.5205620876115296,0.5205620876115296,ridge_fixed,0.002986749983392656
2097168,2,1000,-0.47915192219003216,0.47915192219003216,ridge_fixed,0.0033039579866454005
2097184,2,1000,-0.4700659957382984,0.4700659957382984,ridge_fixed,0.003024832985829562
2097216,2,1000,-0.46143904343163006,0.46143904343163006,ridge_fixed,0.0032619579578749835
2097280,2,1000,-0.4574291674949999,0.4574291674949999,ridge_fixed,0.0030822500120848417
2097408,2,1000,-0.46127158238150534,0.46127158238150534,ridge_fixed,0.002996707975398749
2097664,2,1000,-0.48775100371203245,0.48775100371203245,ridge_fixed,0.0038324579945765436
2098176,2,1000,-0.5078700095249171,0.5078700095249171,ridge_fixed,0.0030073749949224293
2099200,2,1000,-0.49190152558518413,0.49190152558518413,ridge_fixed,0.0030604159692302346
2101248,2,1000,-0.4686288544464542,0.4686288544464542,ridge_fixed,0.003013624984305352
2105344,2,1000,-0.4586474810926146,0.4586474810926146,ridge_fixed,0.003025209007319063
2113536,2,1000,-0.49636477259765066,0.49636477259765066,ridge_fixed,0.002970291010569781
2129920,2,1000,-0.49923016008938964,0.49923016008938964,ridge_fixed,0.003303208970464766
2162688,2,1000,-0.4813192043991671,0.4813192043991671,ridge_fixed,0.0029603340080939233
2228224,2,1000,-0.5488002714984129,0.5488002714984129,ridge_fixed,0.0032223750022239983
2359296,2,1000,-0.4823735916980719,0.4823735916980719,ridge_fixed,0.0028605000115931034
3145728,2,1000,-0.45244281903248657,0.45244281903248657,ridge_fixed,0.0029939579544588923
4194305,2,1000,-0.4681816705248275,0.4681816705248275,ridge_fixed,0.003228916961234063
4194306,2,1000,-0.4715154595662652,0.4715154595662652,ridge_fixed,0.0032508340082131326
4194308,2,1000,-0.46279302995181226,0.46279302995181226,ridge_fixed,0.0031402920139953494
4194312,2,1000,-0.4815952649434527,0.4815952649434527,ridge_fixed,0.0031336249667219818
4194320,2,1000,-0.46389400255451346,0.46389400255451346,ridge_fixed,0.00307075004093349
4194336,2,1000,-0.46422468404786116,0.46422468404786116,ridge_fixed,0.0030103750177659094
4194368,2,1000,-0.4639982537996914,0.4639982537996914,ridge_fixed,0.00338154099881649
4194432,2,1000,-0.4601073114096647,0.4601073114096647,ridge_fixed,0.002815707994159311
4194560,2,1000,-0.4679386868955123,0.4679386868955123,ridge_fixed,0.003061499970499426
4195328,2,1000,-0.46646134953940704,0.46646134953940704,ridge_fixed,0.0031139159691520035
4196352,2,1000,-0.4844513742477863,0.4844513742477863,ridge_fixed,0.0030249999836087227
4198400,2,1000,-0.4594727688060994,0.4594727688060994,ridge_fixed,0.003121624991763383
4202496,2,1000,-0.471247954336638,0.471247954336638,ridge_fixed,0.003300832991953939
4210688,2,1000,-0.4637912361266396,0.4637912361266396,ridge_fixed,0.0030157919973134995
4227072,2,1000,-0.46508956458495015,0.46508956458495015,ridge_fixed,0.0030544999754056334
4259840,2,1000,-0.48107263281386703,0.48107263281386703,ridge_fixed,0.003046124998945743
4325376,2,1000,-0.47926447742927836,0.47926447742927836,ridge_fixed,0.0031696659862063825
4456448,2,1000,-0.46177093730772273,0.46177093730772273,ridge_fixed,0.003102041024249047
5242880,2,1000,-0.4573472785812273,0.4573472785812273,ridge_fixed,0.003114124992862344
6291456,2,1000,-0.48049800336957266,0.48049800336957266,ridge_fixed,0.002971208014059812
8388609,2,1000,-0.5187278237308596,0.5187278237308596,ridge_fixed,0.00320266600465402
8388610,2,1000,-0.4656533244684331,0.4656533244684331,ridge_fixed,0.003615291032474488
8388612,2,1000,-0.5029691678374768,0.5029691678374768,ridge_fixed,0.00289499998325482
